"url","final_url","title","status_code","content_type","fetched_at","text_length","text_sha256"
"https://support.kraken.com/articles/where-is-kraken-licensed-or-regulated","https://support.kraken.com/articles/where-is-kraken-licensed-or-regulated","Where is Kraken licensed or regulated? | Kraken","200","text/html; charset=utf-8","7/16/2026 3:31:02 PM","14762","04fb93970b0f9e63c67b2f6f3f13f60aeedbef64cd78920b7d29f196c6f43ab7"
"https://support.kraken.com/articles/why-is-my-account-restricted","https://support.kraken.com/articles/why-is-my-account-restricted","Why is my account restricted? | Kraken","200","text/html; charset=utf-8","7/10/2026 10:37:50 AM","10836","b98a8046f34a39a4e2e15f1f3a831a3727741d954eed5be6a86186842d5e02f0"
"https://support.kraken.com/categories/204677947-getting-started","https://support.kraken.com/categories/204677947-getting-started","Getting Started | Kraken","200","text/html; charset=utf-8","7/10/2026 10:37:58 AM","2635","93b2f815cbbd2a0e1f051735fd0704f3e9b8f55f3b1bf13901f8218a296e54ee"
"https://support.kraken.com/sections/360006034931-other-topics","https://support.kraken.com/sections/360006034931-other-topics","Other topics | Kraken","200","text/html; charset=utf-8","7/10/2026 10:38:00 AM","1167","6fc853b6152dc5c00f1576e2d96217e5189e6e966153abf43c751292a56f7818"
"https://www.kraken.com","https://www.kraken.com","Kraken | Own the Power of Your Money — Crypto, Stocks & more","200","text/html; charset=utf-8","8/11/2026 11:17:02 PM","3929","e1fe29de549b6ccbc2438426bd15a5d37e52038e51a81b09dcf8dfaaf3cb2c5e"
"https://www.kraken.com/affiliate","https://www.kraken.com/affiliate","Kraken Affiliate Program | Earn commissions in crypto or fiat","200","text/html; charset=utf-8","8/11/2026 11:17:03 PM","5010","83665fe3729973698d7433671ebdaa734f282d7600afe1107dd8724bd62b1134"
"https://www.kraken.com/buy","https://www.kraken.com/buy","Buy Crypto | How to buy cryptocurrency instantly","200","text/html; charset=utf-8","8/11/2026 11:17:09 PM","11505","baa5930223fdae585ae55e1e2b049ec6345c06f5fcdc55df6bac76947dbfb510"
"https://www.kraken.com/compliance","https://www.kraken.com/compliance","Compliance Hub","200","text/html; charset=utf-8","7/16/2026 3:29:07 PM","656","08e6fbe28597269c9b5bd230dbc0be6be099699f33662c8cfd8f5019ab537bba"
"https://www.kraken.com/convert/btc/usd","https://www.kraken.com/convert/btc/usd","BTC to USD | Convert Bitcoin to USD","200","text/html; charset=utf-8","7/16/2026 3:29:51 PM","8355","dc1cba80094df2e3b87d642ac7494e324afc076cfabb884aac4c64c1c8277fd4"
"https://www.kraken.com/desktop","https://www.kraken.com/desktop","Kraken Desktop | Designed for active traders","200","text/html; charset=utf-8","7/10/2026 10:38:06 AM","10827","cb5c0bf0f7eb349501455516e2dcb5e4ee7bd9684ffe697825a5931428300ed4"
"https://www.kraken.com/en-gb/legal/privacy","https://www.kraken.com/gb/legal/privacy","Privacy Notice","200","text/html; charset=utf-8","7/10/2026 10:38:04 AM","53143","59b1088f4c5989b456e1241866eaf1eea18ecae8517d0916a786e9682db83527"
"https://www.kraken.com/features/auto-earn","https://www.kraken.com/features/auto-earn","Kraken Rewards | Earn crypto rewards and build your portfolio","200","text/html; charset=utf-8","7/16/2026 3:31:31 PM","16773","cf6204ce54f6696ef8c45ef6bcf395fed49de98d7216a3e9f5a9bac69fd53810"
"https://www.kraken.com/features/bundles","https://www.kraken.com/features/bundles","Bundles | Diversify Your Portfolio in Seconds | Kraken","200","text/html; charset=utf-8","7/16/2026 3:29:49 PM","7789","e65e832de7ac2659d2c6d15c68c12a29bdd9c7d0d374372c5ac78dad8d8a07e8"
"https://www.kraken.com/features/fee-schedule","https://www.kraken.com/features/fee-schedule","Fee Structures | Explore our trading fees | Kraken","200","text/html; charset=utf-8","8/11/2026 11:17:07 PM","22840","cb385ff5bf465a9adc2e4ab269680a96c161be6b6ae821820af690134e43e4dc"
"https://www.kraken.com/features/funding-options","https://www.kraken.com/features/funding-options","Funding Options | Fiat to Crypto & Crypto to Crypto Trading | Kraken","200","text/html; charset=utf-8","7/16/2026 3:31:05 PM","2603","3a4db8b2c59df42d50d9f3555dcf65debedfbb0a2b247fb2d97bc228a651f49e"
"https://www.kraken.com/features/futures","https://www.kraken.com/features/futures","Trade Perpetual Futures | Kraken Pro","200","text/html; charset=utf-8","8/11/2026 11:17:06 PM","12054","4d77e96a8287c53c1eb0bca163f61534cf80582e1e1f0d1ad026d6de23f86573"
"https://www.kraken.com/features/futures/perpetual","https://www.kraken.com/features/futures/perpetual","Trade Crypto Perpetual Futures Contracts | Kraken Perpetual Futures","200","text/html; charset=utf-8","8/11/2026 11:17:10 PM","4464","969d99df8cdc4edc4c25a9edd4ca923390e83d59507879da737a214a09053ed9"
"https://www.kraken.com/features/margin-trading","https://www.kraken.com/features/margin-trading","Crypto Margin Trading – Up to 10x Leverage | Kraken","200","text/html; charset=utf-8","7/16/2026 3:31:34 PM","3724","4ab15875d183d6dde203a8384baf13e80bab0a626a62f346562cc763d22fb521"
"https://www.kraken.com/features/otc-exchange","https://www.kraken.com/institutions/otc","Crypto OTC Trading Platform | Kraken","200","text/html; charset=utf-8","7/10/2026 10:38:09 AM","3579","1e4fc13829557cf86aaf55439c105a0001ec0190e14d0f384c442f050c211e48"
"https://www.kraken.com/features/staking","https://www.kraken.com/features/staking","Crypto Staking | Earn staking rewards up to 21%","200","text/html; charset=utf-8","7/16/2026 3:29:53 PM","7382","ec8b94a638f0c59e9d6f74e9a1a84f2ab74a85cefaa11c51626c0c17961489ae"
